ID,Author,Year_paper,Title,LontitudeE,LatitudeN,Province,Site,Rainfall[mm/year],Year_experiment,FieldType,Treatment,SamplingDepth[cm],SoilType,Soil_type_FAO1,Soil_type_FAO2,pH_h2o[],BulkDensity[g/cm3],SOM[g/kg],CEC[cmol/kg],clay[%],Silt[%],Sand[%],Alox[mg/kg],Feox[mg/kg],Fe[mmol/kg],Al[mmol/kg],Extractant,CaCO3[g/kg],CaM3[mmol/kg],WaterP[mg/kg],CaCl2P[mg/kg],OlsenP[mg/kg],OxalateP[mg/kg],BrayP[mg/kg],CALP[mg/kg],M3P[mg/kg],TotalP[mg/kg],Qmax,Qmax_Unit,KL,KLNEW,KL_Unit,KL_UnitNEW,EPC0[mg/L],MBC,MBC_eq,MBC_unit,PBC,PBC_eq,PBC_unit,MPBC,MPBC_eq,MPBC_unit,DPS[%],DPS_eq,DPS_unit,PAC,PAC_eq,PAC_unit,PSI,PSI_eq,EPC0,
169,Chen Feng,2015,辽西北风沙半干旱区垄膜沟播处理对土壤氮磷吸附解析特性影响研究,121.77,42.15,Liaoning,Fuxin,,2013,cropland,垄膜沟膜,根区土壤,褐土,Fluvisols,Fluvisols,6.59,,15.68,13.04,,,,,,,,,74.00000095,,,,,,,,,570,2804.255319,mg/kg,0.0047,,?,,,,,,,,,,,,,,,,,,,,,
170,Kun Gao,2017,四川山丘区不同利用方式土壤磷吸附特性,104.08,30.63,Sichuan,Chendu,,2015,Landscape lawn soil,,0-20,,Inceptisols,Inceptisols,7.32,,,,,,,,964,,,"acid ammonium oxalate(chi et al., 2008)",93.00000191,,,,3.1,,,,,118,1066.91,mg/kg,0.04,0.04,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
171,Kun Gao,2017,四川山丘区不同利用方式土壤磷吸附特性,104.09,30.63,Sichuan,Chendu,,2015,Park ditch,,0-20,,Inceptisols,Inceptisols,7.52,,,,,,,,1095,,,"acid ammonium oxalate(chi et al., 2008)",25,,,,4.9,,,,,141,650.56,mg/kg,0.02,0.02,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
172,Kun Gao,2017,四川山丘区不同利用方式土壤磷吸附特性,104,30.56,Sichuan,Chendu,,2015,Park ditch,,0-20,,Inceptisols,Inceptisols,6.88,,,,,,,,1751,,,"acid ammonium oxalate(chi et al., 2008)",93.00000191,,,,2.7,,,,,115,641.18,mg/kg,0.03,0.03,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
173,Kun Gao,2017,四川山丘区不同利用方式土壤磷吸附特性,104,30.56,Sichuan,Chendu,,2015,Park ditch,,0-20,,Inceptisols,Inceptisols,6.89,,,,,,,,1292,,,"acid ammonium oxalate(chi et al., 2008)",93.00000191,,,,5.8,,,,,128,595.74,mg/kg,0.03,0.03,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
174,Kun Gao,2017,四川山丘区不同利用方式土壤磷吸附特性,103.99,30.56,Sichuan,Chendu,,2015,grassland,,0-20,,Inceptisols,Inceptisols,7.53,,,,,,,,1587,,,"acid ammonium oxalate(chi et al., 2008)",93.00000191,,,,2,,,,,108,421.74,mg/kg,0.03,0.03,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
175,Kun Gao,2017,四川山丘区不同利用方式土壤磷吸附特性,104,30.56,Sichuan,Chendu,,2015,Park ditch,,0-20,,Inceptisols,Inceptisols,6.53,,,,,,,,1653,,,"acid ammonium oxalate(chi et al., 2008)",93.00000191,,,,7.9,,,,,166,479.75,mg/kg,0.02,0.02,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
176,Kun Gao,2017,四川山丘区不同利用方式土壤磷吸附特性,107,30.56,Sichuan,,,2015,nayural,,0-20,,Inceptisols,Inceptisols,6.34,,,,,,,,2145,,,"acid ammonium oxalate(chi et al., 2008)",NA,,,,5.8,,,,,132,386.62,mg/kg,0.06,0.06,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
177,Kun Gao,2017,四川山丘区不同利用方式土壤磷吸附特性,103.65,30.53,Sichuan,,,2015,natural,,0-20,,Inceptisols,Inceptisols,6.52,,,,,,,,1587,,,"acid ammonium oxalate(chi et al., 2008)",93.00000191,,,,1.9,,,,,78,1002.78,mg/kg,0.07,0.07,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
178,Kun Gao,2017,四川山丘区不同利用方式土壤磷吸附特性,103.63,30.46,Sichuan,,,2015,cropland,,0-20,,Inceptisols,Inceptisols,7.45,,,,,,,,1292,,,"acid ammonium oxalate(chi et al., 2008)",70,,,,6.1,,,,,117,966.8,mg/kg,0.04,0.04,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
179,Kun Gao,2017,四川山丘区不同利用方式土壤磷吸附特性,104.5,30.34,Sichuan,Chendu,,2015,cropland ditch,,0-20,,Inceptisols,Inceptisols,6.88,,,,,,,,982,,,"acid ammonium oxalate(chi et al., 2008)",150,,,,4.7,,,,,98,770.44,mg/kg,0.02,0.02,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
180,Kun Gao,2017,四川山丘区不同利用方式土壤磷吸附特性,104.62,30.52,Sichuan,Chendu,,2015,cropland,,0-20,,Inceptisols,Inceptisols,6.89,,,,,,,,1292,,,"acid ammonium oxalate(chi et al., 2008)",150,,,,5.1,,,,,87,1088.66,mg/kg,0.04,0.04,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
181,Xiumei Gao,2010,蔬菜种植年限对土壤磷素吸附解析特性的影响,118.68,31.97,Jiangsu,Nanjing,,2007,cropland,vegetable种植3-5年,0-5,黄棕壤,Luvisols,Luvisols,5.81,,21.69,,,,,110,4940,,,"Amorphous Fe.Al(Lu et al., 1999)",14.38,,,,67.89,,,,,,555.56,mg/kg,0.092789258,0.092789258,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
182,Xiumei Gao,2010,蔬菜种植年限对土壤磷素吸附解析特性的影响,118.68,31.97,Jiangsu,Nanjing,,2007,cropland,种植3-5年,20-May,黄棕壤,Luvisols,Luvisols,7.07,,20.84,,,,,110,5420,,,"Amorphous Fe.Al(Lu et al., 1999)",22.5,,,,26.33,,,,,,555.56,mg/kg,0.514273886,0.514273886,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
183,Xiumei Gao,2010,蔬菜种植年限对土壤磷素吸附解析特性的影响,118.68,31.97,Jiangsu,Nanjing,,2007,cropland,种植15-20年,0-5,黄棕壤,Luvisols,Luvisols,6.54,,25,,,,,140,3000,,,"Amorphous Fe.Al(Lu et al., 1999)",40.42,,,,70.33,,,,,,357.14,mg/kg,0.045304362,0.045304362,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
184,Xiumei Gao,2010,蔬菜种植年限对土壤磷素吸附解析特性的影响,118.68,31.97,Jiangsu,Nanjing,,2007,cropland,种植15-20年,20-May,黄棕壤,Luvisols,Luvisols,6.94,,22.2,,,,,100,3030,,,"Amorphous Fe.Al(Lu et al., 1999)",52.79,,,,36.67,,,,,,437.78,mg/kg,0.132806432,0.132806432,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
185,Xiumei Gao,2010,蔬菜种植年限对土壤磷素吸附解析特性的影响,118.68,31.97,Jiangsu,Nanjing,,2007,cropland,种植25-30年,0-5,黄棕壤,Luvisols,Luvisols,5.75,,24.7,,,,,120,2440,,,"Amorphous Fe.Al(Lu et al., 1999)",22.08,,,,96.9,,,,,,322.58,mg/kg,0.04491909,0.04491909,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
186,Xiumei Gao,2010,蔬菜种植年限对土壤磷素吸附解析特性的影响,118.68,31.97,Jiangsu,Nanjing,,2007,cropland,种植25-30年,20-May,黄棕壤,Luvisols,Luvisols,5.94,,21.13,,,,,140,2120,,,"Amorphous Fe.Al(Lu et al., 1999)",32.55,,,,71.33,,,,,,400,mg/kg,0.153375,0.153375,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
187,Jianmei Geng,2009,海南胶园土壤磷的吸附和解析特性,110.3,19.06,Hainan,dongping,,,rubber plantation,,0-20,酸性红壤,Ferrosols,Ferrosols,4.43,,21.9,14.17,,,,,,,,,,,,,1.21,,,,,320,769.23,mg/kg,1.44,,?,,,,,,,,,,,,,,,,,,,,,
188,Jianmei Geng,2009,海南胶园土壤磷的吸附和解析特性,110.29,19.15,Hainan,jialai,,,rubber plantation,,0-20,酸性红壤,Ferrosols,Ferrosols,4.05,,17.9,2.82,,,,,,,,,,,,,2.9,,,,,330,555.56,mg/kg,0.86,,?,,,,,,,,,,,,,,,,,,,,,
189,Jianmei Geng,2009,海南胶园土壤磷的吸附和解析特性,109.7,19.71,Hainan,hongguang,,,rubber plantation,,0-20,酸性红壤,Ferrosols,Ferrosols,4.45,,24.6,25.13,,,,,,,,,,,,,0.91,,,,,610,714.28,mg/kg,1.17,,?,,,,,,,,,,,,,,,,,,,,,
190,Jianmei Geng,2009,海南胶园土壤磷的吸附和解析特性,109.92,19.74,Hainan,hongming,,,rubber plantation,,0-20,酸性红壤,Ferrosols,Ferrosols,4.63,,30,36.29,,,,,,,,,,,,,1.09,,,,,1280,833.33,mg/kg,1.71,,?,,,,,,,,,,,,,,,,,,,,,
191,Jianmei Geng,2009,海南胶园土壤磷的吸附和解析特性,109.96,19.35,Hainan,zhongkun,,,rubber plantation,,0-20,酸性红壤,Ferrosols,Ferrosols,4.54,,15.7,15.05,,,,,,,,,,,,,3.11,,,,,510,909.09,mg/kg,0.09,,?,,,,,,,,,,,,,,,,,,,,,
192,Jianmei Geng,2009,海南胶园土壤磷的吸附和解析特性,110.19,18.85,Hainan,xinzhong,,,rubber plantation,,0-20,酸性红壤,Ferrosols,Ferrosols,4.86,,22.4,4.72,,,,,,,,,,,,,1.99,,,,,260,666.67,mg/kg,1.25,,?,,,,,,,,,,,,,,,,,,,,,
193,Jianmei Geng,2009,海南胶园土壤磷的吸附和解析特性,109.7,18.55,Hainan,nanmao,,,rubber plantation,,0-20,酸性红壤,Ferrosols,Ferrosols,4.7,,16.7,10.97,,,,,,,,,,,,,2.54,,,,,410,769.23,mg/kg,0.18,,?,,,,,,,,,,,,,,,,,,,,,
194,Jianmei Geng,2009,海南胶园土壤磷的吸附和解析特性,109.55,18.75,Hainan,changhao,,,rubber plantation,,0-20,酸性红壤,Ferrosols,Ferrosols,4.92,,20.5,31.37,,,,,,,,,,,,,2.45,,,,,290,625,mg/kg,0.7,,?,,,,,,,,,,,,,,,,,,,,,
195,Jianmei Geng,2009,海南胶园土壤磷的吸附和解析特性,109.69,19.07,Hainan,xinwei,,,rubber plantation,,0-20,酸性红壤,Ferrosols,Ferrosols,4.42,,20.5,10.1,46,,,,,,,,,,,,1.69,,,,,750,588.24,mg/kg,1.06,,?,,,,,,,,,,,,,,,,,,,,,
196,Chunyan Gong,2008,红壤和褐土中磷吸附及其对镉离子吸附解析的影响,111.87,26.75,Hunan,Qiyang,,,,,0-20,红壤,Ferrosols,Ferrosols,4.95,,14.8,5.9,38.27,,,,,,,,,,,,,,,,,400,310.6,mg/kg,2.35,,?,,,,,,,,,,,,,,,,,,,,,
197,Chunyan Gong,2008,红壤和褐土中磷吸附及其对镉离子吸附解析的影响,117.9,40.22,Beijing,Changping,,,,,0-20,褐土,Fluvisols,Fluvisols,8.08,,19.6,14.2,26,,,,,,,,,,,,,,,,,1600,199.6,mg/kg,0.443,,?,,,,,,,,,,,,,,,,,,,,,
198,Xiaodong Guo,1997,甘肃省主要农业区土壤对磷的吸附与解析特性,103.83,36.1,Gansu,lanzhou,,,,,0-20,warped irrigated soil,Anthrosols,Anthrosols,8.6,,15.6,11.8,17.2,,,,,,,,110.4,,,,19,,,,,884,541.4,mg/kg,3.6,,？,,,,,,,,,,,,,,,,,,,,,
199,Xiaodong Guo,1997,甘肃省主要农业区土壤对磷的吸附与解析特性,104.63,35.58,Gansu,dingxi,,,,,0-20,Heima soil,Ghernozems,Chernozems,8.7,,13.2,8,17.5,,,,,,,,136.6,,,,14,,,,,732,541.6,mg/kg,3.18,,？,,,,,,,,,,,,,,,,,,,,,
200,Xiaodong Guo,1997,甘肃省主要农业区土壤对磷的吸附与解析特性,104.63,35.58,Gansu,dingxi,,,,,0-20,Heima soil,Ghernozems,Chernozems,8.6,,16.5,12.6,18.2,,,,,,,,104.3,,,,21,,,,,861,565.8,mg/kg,3.73,,？,,,,,,,,,,,,,,,,,,,,,
201,Xiaodong Guo,1997,甘肃省主要农业区土壤对磷的吸附与解析特性,104.63,35.58,Gansu,dingxi,,,,,0-20,Loessial soil,Ghernozems,Chernozems,8.9,,8.4,7,17.7,,,,,,,,138.8,,,,15,,,,,786,459.8,mg/kg,4.61,,？,,,,,,,,,,,,,,,,,,,,,
202,Xiaodong Guo,1997,甘肃省主要农业区土壤对磷的吸附与解析特性,105.08,37.41,Gansu,jingyuan,,,,,0-20,Soerozem soil,Ghernozems,Chernozems,8.7,,14,8.5,17.2,,,,,,,,99,,,,15,,,,,686,478.2,mg/kg,2.85,,？,,,,,,,,,,,,,,,,,,,,,
203,Xiaodong Guo,1997,甘肃省主要农业区土壤对磷的吸附与解析特性,107.19,35.69,Gansu,zhenyuan,,,,,0-20,Dark Lu soil,Ghernozems,Chernozems,8.6,,10.4,10.5,17.5,,,,,,,,105.7,,,,12,,,,,687,572.4,mg/kg,4.77,,？,,,,,,,,,,,,,,,,,,,,,
204,Xiaodong Guo,1997,甘肃省主要农业区土壤对磷的吸附与解析特性,107.19,35.69,Gansu,zhenyuan,,,,,0-20,Dark Lu soil,Ghernozems,Chernozems,8.6,,12,10.5,16.2,,,,,,,,91,,,,14,,,,,758,577.1,mg/kg,3.32,,？,,,,,,,,,,,,,,,,,,,,,
205,Xiaodong Guo,1997,甘肃省主要农业区土壤对磷的吸附与解析特性,102.85,37.67,Gansu,huangyangzhen,,,,,0-20,Irrigated desert soil,Anthrosols,Anthrosols,8.6,,19.5,9.8,23.6,,,,,,,,147.2,,,,26,,,,,730,583,mg/kg,3.58,,？,,,,,,,,,,,,,,,,,,,,,
206,Xiaodong Guo,1997,甘肃省主要农业区土壤对磷的吸附与解析特性,102.85,37.67,Gansu,huangyangzhen,,,,,0-20,Irrigated desert soil,Anthrosols,Anthrosols,8.6,,18,9,18.1,,,,,,,,109.7,,,,70,,,,,1103,566.4,mg/kg,3.25,,？,,,,,,,,,,,,,,,,,,,,,
207,Xiaodong Guo,1997,甘肃省主要农业区土壤对磷的吸附与解析特性,102.85,37.67,Gansu,huangyangzhen,,,,,0-20,Irrigated desert soil,Anthrosols,Anthrosols,8.7,,16.6,9.5,20,,,,,,,,119.1,,,,42,,,,,1026,545.4,mg/kg,3.1,,？,,,,,,,,,,,,,,,,,,,,,
208,Xiaodong Guo,1997,甘肃省主要农业区土壤对磷的吸附与解析特性,99.84,39.83,Gansu,gaotai,,,,,0-20,Irrigated desert soil,Anthrosols,Anthrosols,9,,13,8,16,,,,,,,,68,,,,18,,,,,587,544.4,mg/kg,1.28,,？,,,,,,,,,,,,,,,,,,,,,
209,Huaying Hu,2019,生物炭对杉木人工林土壤磷素吸附解吸特性的影响,119.24,26.09,Fujian,Fujiannonglindaxue,,,forest,,0-20,南方红壤,Ferrosols,Ferrosols,4.34,,,44,47,,,,,,,,,,,,,,,,,321,654,mg/kg,0.145,0.145,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
210,Yanjian,2020,不同类型水稻土对氮磷养分的吸附解吸特征研究,113.02,28.4,Hunan,changsha,,,paddy soil,,0-20,麻纱泥,Anthrosols,Anthrosols,6.23,,41.4,34,21,,,,,,,,,,,,24.5,,,,,880,290.698,mg/kg,0.107,0.107,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
211,Yanjian,2020,不同类型水稻土对氮磷养分的吸附解吸特征研究,113.12,27.79,Hunan,Zhuzhou,,,paddy soil,,0-20,紫色土,Anthrosols,Anthrosols,7.78,,9.91,47,22,,,,,,,,,,,,5.9,,,,,640,369.004,mg/kg,0.113,0.113,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
212,Yanjian,2020,不同类型水稻土对氮磷养分的吸附解吸特征研究,112.36,28.56,Hunan,yiyang,,,paddy soil,,0-20,河沙泥,Anthrosols,Anthrosols,7.97,,43.4,13,48,,,,,,,,,,,,10.7,,,,,1000,628.931,mg/kg,0.173,0.173,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
213,Yanjian,2020,不同类型水稻土对氮磷养分的吸附解吸特征研究,113.26,28.28,Hunan,changsha,,,paddy soil,,0-20,红黄泥,Anthrosols,Anthrosols,7.55,,34.4,34,21,,,,,,,,,,,,14.9,,,,,560,598.802,mg/kg,0.085,0.085,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
214,JingLi,2005,库区消落区紫色土与水稻土磷吸附解析特征,106.62,29.72,Chongqing,yubei,,,,,0-20,紫色土,Anthrosols,Anthrosols,7.2,,26.5,32,20,,,2900,2290,,,??,,,,0.1,7.1,,,,,560,123.46,mg/kg,0.014417625,0.014417625,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
215,JingLi,2005,库区消落区紫色土与水稻土磷吸附解析特征,106.56,29.68,Chongqing,banan,,,,,0-20,水稻土,Anthrosols,Anthrosols,6.61,,22.4,45,40,,,2800,790,,,??,,,,0.087,12.2,,,,,550,208.33,mg/kg,0.021408343,0.021408343,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
216,Shanlan Lv,1995,土壤对磷的吸附与解析及需磷量探讨,112.75,37.69,Shanxi,Jinzhong,,,,,0-20,砂土,Luvisols,Luvisols,8.45,,16.8,,6.44,,,,,,,,50.2,,,,11.95,,,,,,206.18,mg/kg,0.078354297,0.078354297,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
217,Shanlan Lv,1995,土壤对磷的吸附与解析及需磷量探讨,112.75,37.69,Shanxi,Jinzhong,,,,,0-20,砂土,Luvisols,Luvisols,8.3,,12.7,,10.88,,,,,,,,35.7,,,,9.87,,,,,,216.45,mg/kg,0.05513132,0.05513132,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
218,Shanlan Lv,1995,土壤对磷的吸附与解析及需磷量探讨,112.75,37.69,Shanxi,Jinzhong,,,,,0-20,砂土,Luvisols,Luvisols,8.25,,8.7,,12.03,,,,,,,,33.2,,,,6.98,,,,,,219.78,mg/kg,0.049726826,0.049726826,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
219,Shanlan Lv,1995,土壤对磷的吸附与解析及需磷量探讨,112.75,37.69,Shanxi,Jinzhong,,,,,0-20,壤土,Luvisols,Luvisols,8.43,,8,,36.07,,,,,,,,61.1,,,,4.85,,,,,,401.6,mg/kg,0.081640651,0.081640651,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
220,Shanlan Lv,1995,土壤对磷的吸附与解析及需磷量探讨,112.75,37.69,Shanxi,Jinzhong,,,,,0-20,壤土,Luvisols,Luvisols,8.33,,15.3,,32.03,,,,,,,,61.3,,,,6.14,,,,,,361.01,mg/kg,0.104135578,0.104135578,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
221,Shanlan Lv,1995,土壤对磷的吸附与解析及需磷量探讨,112.75,37.69,Shanxi,Jinzhong,,,,,0-20,壤土,Luvisols,Luvisols,8.47,,13.9,,38.86,,,,,,,,66.4,,,,7.02,,,,,,369,mg/kg,0.126047772,0.126047772,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
222,Shanlan Lv,1995,土壤对磷的吸附与解析及需磷量探讨,112.75,37.69,Shanxi,Jinzhong,,,,,0-20,粘土,Luvisols,Luvisols,8.41,,10.9,,49.23,,,,,,,,65,,,,3.23,,,,,,492.61,mg/kg,0.163709956,0.163709956,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
223,Shanlan Lv,1995,土壤对磷的吸附与解析及需磷量探讨,112.75,37.69,Shanxi,Jinzhong,,,,,0-20,粘土,Luvisols,Luvisols,8.41,,16,,47.77,,,,,,,,55,,,,6,,,,,,469.48,mg/kg,0.199066933,0.199066933,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
224,Shanlan Lv,1995,土壤对磷的吸附与解析及需磷量探讨,112.75,37.69,Shanxi,Jinzhong,,,,,0-20,粘土,Luvisols,Luvisols,8.5,,5.3,,51.23,,,,,,,,66,,,,1.02,,,,,,520.83,mg/kg,0.181133235,0.181133235,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
225,Yaqun Qiu,2013,不同利用方式土壤中磷的吸附与解析特性,112.88,28.68,Hunan,Xiangyin,,,cropland,,0-15,第四纪红土,Ferralosols,Ferralosols,4.39,,2.24,,55,,,,639.2,,,"acid ammonium oxalate(chi et al., 2008)",NA,,,,36.2,,,,,650,384.6,mg/kg,0.055,0.055,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
226,Yaqun Qiu,2013,不同利用方式土壤中磷的吸附与解析特性,112.88,28.68,Hunan,Xiangyin,,,paddy soil,,0-15,第四纪红土,Ferralosols,Ferralosols,5.49,,3.09,,52,,,,623.5,,,"acid ammonium oxalate(chi et al., 2008)",NA,,,,10.43,,,,,890,370.4,mg/kg,0.026,0.026,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
227,Yaqun Qiu,2013,不同利用方式土壤中磷的吸附与解析特性,112.35,28.84,Hunan,Yuanjiang,,,cropland,,0-15,耕型湖潮土,Luvisols,Luvisols,6.89,,2.22,,48,,,,478.6,,,"acid ammonium oxalate(chi et al., 2008)",90,,,,24,,,,,1220,303,mg/kg,0.183,0.183,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
228,Yaqun Qiu,2013,不同利用方式土壤中磷的吸附与解析特性,112.35,28.84,Hunan,Yuanjiang,,,paddy soil,,0-15,耕型湖潮土,Luvisols,Luvisols,6.59,,3.04,,43,,,,419.8,,,"acid ammonium oxalate(chi et al., 2008)",90,,,,10.58,,,,,2190,294.1,mg/kg,0.087,0.087,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
229,Yaqun Qiu,2013,不同利用方式土壤中磷的吸附与解析特性,112.1,26.8,Hunan,Qidong,,,cropland,,0-15,酸性紫色土,Inceptisols,Inceptisols,5.59,,1.41,,39,,,,346.6,,,"acid ammonium oxalate(chi et al., 2008)",NA,,,,2.32,,,,,80,138.9,mg/kg,0.169,0.169,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
230,Yaqun Qiu,2013,不同利用方式土壤中磷的吸附与解析特性,112.1,26.8,Hunan,Qidong,,,paddy soil,,0-15,酸性紫色土,Inceptisols,Inceptisols,5.89,,1.68,,33,,,,319.6,,,"acid ammonium oxalate(chi et al., 2008)",NA,,,,4.36,,,,,170,116.3,mg/kg,0.039,0.039,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
231,Xinghua Shao,2007,红壤磷吸附解吸特性及环境效应研究,117.94,28.46,Jiangxi,Shangrao,,,cropland,新开垦土地,0-20,红壤,Ferralosols,Ferralosols,5.26,,2.28,,,,,,,,,,,,,,13.3285,,,,,89,282.781,mg/kg,0.148,0.148,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
232,Xinghua Shao,2007,红壤磷吸附解吸特性及环境效应研究,117.94,28.46,Jiangxi,Shangrao,,,cropland,多年耕地,0-20,红壤,Ferralosols,Ferralosols,7.01,,20.92,,,,,,,,,,,,,,105.52,,,,,447,789.702,mg/kg,0.058,0.058,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
233,Xinghua Shao,2010,氧化还原条件下红壤磷吸附与解析特性及需磷量探讨,117.94,28.46,Jiangxi,Shangrao,,,cropland,,0-20,红壤,Ferralosols,Ferralosols,4.7,,4.25,,,,,,639.21,11.41446429,,acid ammonium oxalate,,,,,1.43,21.24,,,,190,808.73,mg/kg,0.031,0.031,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
234,Xinghua Shao,2010,氧化还原条件下红壤磷吸附与解析特性及需磷量探讨,117.94,28.46,Jiangxi,Shangrao,,,cropland,,0-20,红壤,Ferralosols,Ferralosols,4.8,,4.21,,,,,,528.53,9.438035714,,acid ammonium oxalate,,,,,1.44,22.87,,,,190,854.62,mg/kg,0.027,0.027,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
235,Xinghua Shao,2010,氧化还原条件下红壤磷吸附与解析特性及需磷量探讨,117.94,28.46,Jiangxi,Shangrao,,,cropland,,0-20,红壤,Ferralosols,Ferralosols,4.8,,4.34,,,,,,627.67,11.20839286,,acid ammonium oxalate,,,,,1.85,24.43,,,,240,956.75,mg/kg,0.042,0.042,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
236,Xinghua Shao,2010,氧化还原条件下红壤磷吸附与解析特性及需磷量探讨,117.94,28.46,Jiangxi,Shangrao,,,cropland,,0-20,红壤,Ferralosols,Ferralosols,4.7,,4.32,,,,,,638.41,11.40017857,,acid ammonium oxalate,,,,,2.36,26.09,,,,280,941.08,mg/kg,0.016,0.016,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
237,Xinghua Shao,2010,氧化还原条件下红壤磷吸附与解析特性及需磷量探讨,117.94,28.46,Jiangxi,Shangrao,,,cropland,,0-20,红壤,Ferralosols,Ferralosols,4.8,,4.27,,,,,,523.48,9.347857143,,acid ammonium oxalate,,,,,4.08,26.91,,,,320,794.22,mg/kg,0.026,0.026,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
238,Xinghua Shao,2010,淹水堆酸性红壤磷吸附解析特性的影响,117.94,28.46,Jiangxi,Shangrao,,,cropland,,0-20,旱地红壤,Ferralosols,Ferralosols,4.46,,5.1,,,,,,410.6,7.332142857,,acid ammonium oxalate,,,,,7.31,18,,,,143,536,mg/kg,0.129,0.129,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
239,Xinghua Shao,2010,淹水堆酸性红壤磷吸附解析特性的影响,117.94,28.46,Jiangxi,Shangrao,,,paddy soil,,0-20,青紫泥,Anthrosols,Anthrosols,6.43,,34.3,,,,,,6284.6,112.225,,acid ammonium oxalate,,,,,133.68,424,,,,521,1168,mg/kg,0.176,0.176,L/mg,L/mg,,,,,,,,,,,,,,,,,,,,
240,Bin Wang,2013,长期施肥条件下灰漠土磷的吸附与解析特征,87.78,44.59,Xinjiang,Ulumuqi,,2011,cropland,CK,0-20,灰漠土,Calcisols,Calcisols,9.16,1.56,12.7,,,,,,,,,,NA,,,0,4.27,,,,,580,416.7,mg/kg,0.2156,0.2156,L/mg,L/mg,,,,,,,,,,,1.02,,,,,,,,,
241,Bin Wang,2013,长期施肥条件下灰漠土磷的吸附与解析特征,87.78,44.59,Xinjiang,Ulumuqi,,2011,cropland,PK,0-20,灰漠土,Calcisols,Calcisols,9.62,1.5,12.48,,,,,,,,,,NA,,,0.25,22.39,,,,,800,244.6,mg/kg,0.1753,0.1753,L/mg,L/mg,,,,,,,,,,,8.83,,,,,,,,,
242,Bin Wang,2013,长期施肥条件下灰漠土磷的吸附与解析特征,87.78,44.59,Xinjiang,Ulumuqi,,2011,cropland,NPK,0-20,灰漠土,Calcisols,Calcisols,9.26,1.5,13.3,,,,,,,,,,NA,,,0,13.61,,,,,920,333.6,mg/kg,0.6065,0.6065,L/mg,L/mg,,,,,,,,,,,4.1,,,,,,,,,
243,Bin Wang,2013,长期施肥条件下灰漠土磷的吸附与解析特征,87.78,44.59,Xinjiang,Ulumuqi,,2011,cropland,NPKM,0-20,灰漠土,Calcisols,Calcisols,9.26,1.46,14.96,,,,,,,,,,NA,,,3.82,45.42,,,,,900,330.2,mg/kg,0.1801,0.1801,L/mg,L/mg,,,,,,,,,,,14.24,,,,,,,,,
