ID_new,ID,Author,year,title,longtitude,latitude,longtitude_temp,latitude_temp,province,site,depth,annual mean precipitation,annual mean temperature,landuse type,field type,soil type,soil_ty temp,soilty_usda,reference,ph,ph_extractant,som,som_unit,soc,soc_unit,tc,tc_unit,clay,clay_hwsd,silt,sand,caco3[g/kg],Alox[mg/kg],Feox[mg/kg],Pox[mg/kg],ref,pcacl2,pcacl2_unit,polsen[mg/kg],ptotal[g/kg],Qmax[mg/kg],Qmax_unit,KL[L/mg],KL_unit,
58,58,Fang Yang,2006,???????????????????????,117.07,28.26,,,Jiangxi,Yingtan,0-20,,,cropland,,??,,Ultisols,,5.62,h2o,13.43,g/kg,,,,,,,,,,1140,1180,,vendrell sabbe 1990,,,40.7,0.5,630,mg/kg,0.023,L/mg,
59,59,Fang Yang,2006,???????????????????????,117.07,28.26,,,Jiangxi,Yingtan,0-20,,,cropland,,??,,Ultisols,,5.49,h2o,11.68,g/kg,,,,,,,,,,1070,920,,vendrell sabbe 1990,,,42.65,0.51,630,mg/kg,0.028,L/mg,
60,60,Fang Yang,2006,???????????????????????,117.07,28.26,,,Jiangxi,Yingtan,0-20,,,cropland,,??,,Ultisols,,6.01,h2o,15.14,g/kg,,,,,,,,,,1030,1170,,vendrell sabbe 1990,,,127.7,1.36,450,mg/kg,0.007,L/mg,
61,61,Fang Yang,2006,???????????????????????,117.07,28.26,,,Jiangxi,Yingtan,0-20,,,cropland,,??,,Ultisols,,4.5,h2o,8.18,g/kg,,,,,,,,,,1520,1260,,vendrell sabbe 1990,,,9.27,0.27,1430,mg/kg,0.042,L/mg,
62,62,Fang Yang,2006,???????????????????????,117.07,28.26,,,Jiangxi,Yingtan,0-20,,,cropland,,??,,Ultisols,,5.66,h2o,10.04,g/kg,,,,,,,,,,1140,1070,,vendrell sabbe 1990,,,53.3,0.55,590,mg/kg,0.042,L/mg,
63,63,Fang Yang,2006,???????????????????????,117.07,28.26,,,Jiangxi,Yingtan,0-20,,,cropland,,??,,Ultisols,,7.07,h2o,11.2,g/kg,,,,,,,,,,1220,1380,,vendrell sabbe 1990,,,53.2,0.65,670,mg/kg,0.032,L/mg,
64,64,Fang Yang,2006,???????????????????????,117.07,28.26,,,Jiangxi,Yingtan,0-20,,,cropland,,??,,Ultisols,,6.27,h2o,12.55,g/kg,,,,,,,,,,1300,1290,,vendrell sabbe 1990,,,58.75,0.7,710,mg/kg,0.028,L/mg,
65,65,"Fang, Di",2019,Paddy Cultivation Significantly Alters Phosphorus Sorption Characteristics and Loss Risk in a Calcareous Paddy Soil Chronosequence,121.98,41.3,,,Liaoning,Panjin City,0-20,,,cropland,Maize with paddy soil hoistory,Alfisol,,Alfisols,,9.22,h2o,8.41,g/kg,,,,,,,,,,1040,1400,,"Sparks et al., 1996",,,11.6,0.421,520.67,mg/kg,0.241,,
66,66,"Fang, Di",2019,Paddy Cultivation Significantly Alters Phosphorus Sorption Characteristics and Loss Risk in a Calcareous Paddy Soil Chronosequence,121.98,41.3,,,Liaoning,"Panjin City, Liaoning Province ",0-20,,,cropland,Maize with paddy soil hoistory,Alfisol,,Alfisols,,8.08,h2o,12.85,g/kg,,,,,,,,,,1400,2610,,"Sparks et al., 1996",,,42.1,0.554,545.67,mg/kg,0.226,,
67,67,"Fang, Di",2019,Paddy Cultivation Significantly Alters Phosphorus Sorption Characteristics and Loss Risk in a Calcareous Paddy Soil Chronosequence,121.98,41.3,,,Liaoning,"Panjin City, Liaoning Province ",0-20,,,cropland,Maize with paddy soil hoistory,Alfisol,,Alfisols,,8.3,h2o,15.55,g/kg,,,,,,,,,,2120,2730,,"Sparks et al., 1996",,,28.1,0.599,662.78,mg/kg,0.314,,
