ID,Name,CountyName,LAT,LON,SoilMaterials,parent_material,UseType,Landuse_code,HistoricalSoilType,CropType,pH,olsenP[mg/kg],CaCl2P[mg/l],oxalateFe[mg/kg],oxalateAl[mg/kg], oxalateP[mg/kg],TotalP[g/kg],SOM[g/kg],ClayContent[%], oxalateCa[mg/kg],Premoval[kg/ha],Pinput[kg/ha],,
80,,肖家村镇,112.01,26.32,板页岩,slate shale,forest,3,,,4.94,40.295,0.029569892,2422.222,1812.13,83.912,0.390553535,11.40780141,9.015,65.788,4.12154,69.41,,
81,QY,肖家村镇,112,26.33,红砂岩,red sandstone,paddy,1,长期水田,早稻,5.95,104.235,0.075652842,2484.19,1467.458,167.436,0.485380191,21.45500521,13.94533333,44.164,4.07302,108.13,50.40061401,10.71645931
82,,肖家村镇,112.01,26.31,板页岩,slate shale,forest,3,,,6.13,27.285,0.048771121,1500.934,1373.362,28.948,0.271184777,11.18127015,26.14933333,28.088,3.83499,53.12,,
83,,肖家村镇,111.99,26.3,板页岩,slate shale,upland,2,长期旱地,红薯,7.51,76.35,0.229262673,3835.61,1219.742,702.724,1.14332966,17.4542594,4.843,42.86,2.71549,22.44,57.70309478,39.28474931
84,,肖家村镇,111.98,26.31,板页岩,slate shale,fruit,2,荒地,柚子,6.53,21.82,0.04109063,4230.63,1254.482,319.788,0.552853026,9.327224392,2.4445,54.24,8.96565,39.63,,
85,,肖家村镇,111.97,26.31,河流冲积物,river alluvium,paddy,1,长期水田,水稻,5.64,18.12,0.029569892,1262.086,1301.706,135.636,0.388998319,16.18964171,0.823666667,49.956,2.87094,25.54,36.30143269,12.05284341
86,,肖家村镇,111.97,26.32,第四纪红土,red soil of quantenary reath,forest,3,,,4.81,6.81,0.06797235,2861.146,2159.706,203.412,0.485042014,12.23734267,11.387,53.196,4.07869,39.59,,
87,,肖家村镇,111.98,26.33,第四纪红土,red soil of quantenary reath,paddy,1,长期水田,早稻,5.43,15.475,0.037250384,3529.358,1891.478,268.252,0.546751189,26.53427437,5.8255,47.104,3.63212,76.85,67.88670192,12.74666478
88,,肖家村镇,111.96,26.34,板页岩,slate shale,forest,3,,,4.73,19.75,0.091013825,1677.25,2101.278,67.524,0.27032199,8.647969229,5.728,50.096,5.03601,59.27,,
89,,肖家村镇,111.96,26.37,板页岩,slate shale,fruit,2,旱地,橘子,7.08,4.95,0.14093702,3963.946,1072.294,598.28,0.692141032,11.65989995,7.1702,57.068,6.00733,105.59,,
90,,肖家村镇,112,26.37,板页岩,slate shale,paddy,1,长期水田,水稻,5.82,23.38,0.033410138,1843.29,1550.338,197.64,0.552191982,11.19586884,6.699666667,69.5,2.82819,29.81,46.27213874,13.77823469
91,,肖家村镇,111.97,26.37,板页岩,slate shale,fruit,2,旱地,橘子,6.81,10.07,0.1140553,4954.534,1192.946,303.056,0.605031107,23.24362103,6.498555556,35.964,6.02281,17.36,,
92,QY,观音滩,111.84,26.53,红砂岩,red sandstone,forest,3,,,5.16,2.35,0.033410138,1855.346,1524.802,22.404,0.137760253,11.25190216,7.592166667,67.088,8.72515,58.43,45.88870467,1.574918452
93,,白水镇,111.99,26.42,板页岩,slate shale,upland,2,长期旱地,芝麻,5.25,18.965,0.098694316,3289.146,1632.226,275.192,0.566431657,22.29395873,4.440833333,55.328,0.532922,42.43,60.75633654,14.61108717
94,,白水镇,112,26.41,板页岩,slate shale,paddy,1,长期水田,水稻,7.59,16.77,0.371351767,4539.418,1323.862,263.608,0.573369731,19.68392014,13.13633333,40.684,2.97351,25.22,65.98940247,12.88613558
95,,白水镇,112.02,26.41,石灰岩,limestone,paddy,1,长期水田,水稻,6.3,39.365,0.098694316,4089.398,1615.45,252.372,0.761649888,24.0244472,8.414571429,48.844,2.5474,22.14,67.5788283,12.04672005
96,,白水镇,112.04,26.39,第四纪红土,red soil of quantenary reath,forest,3,,,4.69,13.035,0.029569892,2361.902,2396.994,32.916,0.271293013,12.75736247,15.0658,70.844,8.97037,59.71,,
97,,白水镇,112.05,26.4,第四纪红土,red soil of quantenary reath,forest,3,,,4.64,12.06,0.06797235,2559.79,3118.098,60.372,0.226457212,12.97915908,25.48366667,79.856,11.0574,60.94,,
98,,白水镇,112.08,26.39,第四纪红土,red soil of quantenary reath,upland,2,水田,红薯,5.95,12.03,0.04109063,2334.354,1542.182,80.424,0.308416448,9.287071477,10.35383333,55.376,19.4141,72.77,50.49979258,5.137293537
99,,白水镇,112.08,26.4,第四纪红土,red soil of quantenary reath,fruit,2,水田,橘子,5.33,19.445,0.037250384,2571.774,1476.638,124.072,0.353499338,11.03699285,7.319,58.112,26.9873,78.55,51.35915247,7.792812747
100,,白水镇,112.05,26.43,第四纪红土,red soil of quantenary reath,forest,3,,,4.88,21.375,0.102534562,2365.034,2233.334,40.116,0.322986288,8.076736962,18.91366667,71.168,6.55996,44.75,,
101,,白水镇,112.03,26.46,第四纪红土,red soil of quantenary reath,paddy,1,长期水田,水稻,6.06,15.615,0.033410138,2548.466,1316.466,124.676,0.470675774,22.59960765,7.852,46.688,2.54924,27.17,48.07081456,8.366420433
