ID,Year,Treatments,FertilizerP [kg/ha/yr],Manure [kg/ha],Pinput[kg/ha],maizegrain[kg/ha],maize straw[kg/ha],N concentration in maize grain[%],N concentration in maize straw[%],P concentration in maize grain[%],P concentration in maize straw[%],wheatgrain[kg/ha],wheat straw[kg/ha],N concentration in wheat grain[%],N concentration in wheat straw[%],P concentration in wheat grain[%],P concentration in wheat straw[%],Nuptake[kg/ha],Puptake[kg/ha],Psurplus[kg/ha],Oaccumulatedsurplus[kg/ha],SOC[g/kg],pH,OlsenP[mg/kg],TotalP[g/kg],CaCl2P[mg/kg],oxalateP[mg/kg],oxalateAl[mg/kg],oxalateCa[m/kg],oxalateFe[mg/kg],preci_sur[m/yr],totalp20-40[g/kg],puptakemaize[kg/ha],puptakewheat[kg/ha]
134,2002,N,0,0,0,142.5,165,1.18,1.17 ,0.26,0.56,54,108,2.21,0.71 ,0.34,0.05,5.574355414,0.8226,-0.8226,-95.5959,9.385150812,4.5,3.4,0.41,NA,NA,NA,NA,NA,1.13,NA,0.585,0.2376
265,2014,CK,0,0,0,170.3902439,224.7612375,1.180098284,0.51 ,0.21,0.06,97.75,574.9919527,0.320561257,0.35 ,0.31,0.02,5.491062572,0.910699645,-0.910699645,-87.61094603,8.340188228,5.675,3.785,0.439628741,NA,NA,NA,NA,NA,0.56,0.437740951,0.492676255,0.418023391
145,2003,N,0,0,0,109.5,223.5,1.10230261,1.04 ,0.21,0.16,51,90.75,2.471680947,0.71 ,0.34,0.07,5.435619083,0.824475,-0.824475,-96.420375,9.866589327,4.2,5,0.39,NA,NA,NA,NA,NA,0.46,NA,0.58755,0.236925
156,2004,N,0,0,0,36.75,85.5,1.267107762,1.17 ,0.24,0.17,31.5,201.75,2.706938461,0.80 ,0.35,0.06,3.933299362,0.46485,-0.46485,-96.885225,10.4012181,4,4.54,0.4125,NA,NA,NA,NA,NA,0.71,0.3865,0.23355,0.2313
169,2005,NK,0,0,0,72,138,1.016687542,1.36 ,0.28,1.18,37.5,60.75,2.407854456,0.67 ,0.31,0.08,3.923643383,1.99485,-1.99485,-152.6829,8.182830626,4.17,6.32,0.4835,NA,NA,NA,NA,NA,0.71,0.4448,1.83,0.16485
167,2005,N,0,0,0,49.5,112.5,0.946317957,1.23 ,0.27,0.54,52.5,64.5,2.738753333,0.59 ,0.34,0.05,3.665861609,0.9519,-0.9519,-97.837125,6.399013921,4.39,6.32,0.4284,NA,NA,NA,NA,NA,0.71,0.3833,0.74115,0.21075
1,1990,CK,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,7.89,5.7,13.9,0.45,0.001,96.92,1211.6,54.56,3540.8,0.79,0.455,0,0
21,1991,NPKMR,52.3943662,158,210.3943662,484.5,1365.75,,,NA,NA,1725,4744.5,,,NA,NA,0,NA,NA,NA,NA,NA,NA,0.45,NA,NA,NA,NA,NA,0.8,NA,NA,NA
32,1992,NPKMR,52.3943662,158,210.3943662,1056,942,,,NA,NA,1794,4708.5,,,NA,NA,0,NA,NA,NA,11.78,6.6,25.6,0.74,NA,NA,NA,NA,NA,0.83,NA,NA,NA
43,1993,NPKMR,52.3943662,158,210.3943662,1203,648.75,,,NA,NA,1590,4500,,,NA,NA,0,NA,NA,NA,11.75,6.29,25.6,0.78,NA,NA,NA,NA,NA,0.65,NA,NA,NA
87,1997,NPKMR,52.3943662,158,210.3943662,528,1140,,,NA,NA,1114.5,1797,,,NA,NA,0,NA,NA,NA,16.12529002,6.1,37.6,1.2,NA,NA,NA,NA,NA,1.2,NA,NA,NA
98,1998,NPKMR,52.3943662,158,210.3943662,901.5,997.5,,,NA,NA,1104,3822,,,NA,NA,0,NA,NA,NA,16.41531323,6.1,182.2,1.54,NA,NA,NA,NA,NA,0.72,NA,NA,NA
109,1999,NPKMR,52.3943662,158,210.3943662,811.5,1527,,,NA,NA,810,766.5,,,NA,NA,0,NA,NA,NA,12.99303944,5.6,80.6,1.14,NA,NA,NA,NA,NA,0.54,NA,NA,NA
120,2000,NPKMR,52.3943662,158,210.3943662,771,1284.75,,,NA,NA,1053,1831.5,,,NA,NA,0,NA,NA,NA,14.67517401,6.1,72.4,1.23,NA,NA,NA,NA,NA,0.76,NA,NA,NA
131,2001,NPKMR,52.3943662,158,210.3943662,705,965.25,,,NA,NA,922.5,2202.75,,,NA,NA,0,NA,NA,NA,13.66009281,5.8,140.5,1.38,NA,NA,NA,NA,NA,0.62,NA,NA,NA
142,2002,NPKMR,52.3943662,158,210.3943662,670.5,1299.75,,,NA,NA,1870.5,2103,,,NA,NA,0,NA,NA,NA,14.90719258,6.1,122.9,1.18,NA,NA,NA,NA,NA,1.13,NA,NA,NA
153,2003,NPKMR,52.3943662,158,210.3943662,478.5,708,,,NA,NA,1618.5,2028,,,NA,NA,0,NA,NA,NA,17.94083527,5.7,134.7,1.09,NA,NA,NA,NA,NA,0.46,NA,NA,NA
164,2004,NPKMR,52.3943662,158,210.3943662,816,1448.25,,,NA,NA,2316,4664.25,,,NA,NA,0,NA,NA,NA,18.69773782,5.81,111.05,1.6814,NA,NA,NA,NA,NA,0.71,1.206,NA,NA
175,2005,NPKMR,52.3943662,158,210.3943662,1203,1365,,,NA,NA,2049,4197,,,NA,NA,0,NA,NA,NA,12.69066125,5.71,101.97,1.3717,NA,NA,NA,NA,NA,0.71,0.9604,NA,NA
186,2006,NPKMR,52.3943662,158,210.3943662,412.5,849,,,NA,NA,1458,3157.5,,,NA,NA,0,NA,NA,NA,14.58434252,5.89,245.64,1.486920213,NA,NA,NA,NA,NA,0.84,0.946459713,NA,NA
197,2007,NPKMR,52.3943662,158,210.3943662,525,974.25,,,NA,NA,1186.8675,3127.105263,,,NA,NA,0,NA,NA,NA,14.87337587,6.07,180.3,1.8511,NA,NA,NA,NA,NA,0.64,1.0328,NA,NA
208,2008,NPKMR,52.3943662,158,210.3943662,824.25,1138.5,,,NA,NA,1591.5,2616,,,NA,NA,0,NA,NA,NA,13.45881671,6.2,205.5,1.597,NA,NA,NA,NA,NA,0.6,0.489,NA,NA
219,2009,NPKMR,52.3943662,158,210.3943662,132.75,1017,,,NA,NA,2031.851588,2931.694196,,,NA,NA,0,NA,NA,NA,15.38979502,6.065,168.376135,1.840501376,NA,NA,NA,NA,NA,0.51,1.104212802,NA,NA
230,2010,NPKMR,52.3943662,158,210.3943662,125.25,862.5,,,NA,NA,1176.242658,3158.907938,,,NA,NA,0,NA,NA,NA,16.03315271,6,139.25,NA,NA,NA,NA,NA,NA,0.24,NA,NA,NA
