ID,Year,Treatments,FertilizerP [kg/ha/yr],Manure [kg/ha],Pinput[kg/ha],maizegrain[kg/ha],maize straw[kg/ha],N concentration in maize grain[%],N concentration in maize straw[%],P concentration in maize grain[%],P concentration in maize straw[%],wheatgrain[kg/ha],wheat straw[kg/ha],N concentration in wheat grain[%],N concentration in wheat straw[%],P concentration in wheat grain[%],P concentration in wheat straw[%],Nuptake[kg/ha],Puptake[kg/ha],Psurplus[kg/ha],Oaccumulatedsurplus[kg/ha],SOC[g/kg],pH,OlsenP[mg/kg],TotalP[g/kg],CaCl2P[mg/kg],oxalateP[mg/kg],oxalateAl[mg/kg],oxalateCa[m/kg],oxalateFe[mg/kg],preci_sur[m/yr],totalp20-40[g/kg],puptakemaize[kg/ha],puptakewheat[kg/ha]
104,1999,PK,52.3943662,0,52.3943662,405,2490,1.11,0.64 ,0.36,0.27,909,892.5,2.13,0.60 ,0.47,0.07,45.1482,12.75405,39.6403162,380.4692708,9.280742459,4.8,22.4,0.75,NA,NA,NA,NA,NA,0.54,NA,7.857,4.89705
27,1992,PK,52.3943662,0,52.3943662,916.5,819,1.05,0.53 ,0.29,0.26,955.5,2592,2.15091798,0.40 ,0.4,0.07,44.80821583,10.4251,41.9692662,81.83765739,9.19,6.5,5.6,0.55,NA,NA,NA,NA,NA,0.83,NA,4.7887,5.6364
223,2010,NP,52.3943662,0,52.3943662,893.5616715,870.0435,1.401578919,1.16 ,0.25,0.26,329.8134593,1187.786659,2.965558295,1.04 ,0.28,0.08,44.78718271,6.369724292,46.02464191,810.149771,10.82811342,4.385,55.8295,NA,NA,NA,NA,NA,NA,0.24,NA,4.496017279,1.873707013
280,2015,PK,52.3943662,0,52.3943662,64.04025,1086.93,0.900761071,0.31 ,0.23,0.18,1184.016788,2340.788172,2.777295008,0.32 ,0.38,0.05,44.43438831,7.773424457,44.62094174,1089.039879,8.537280745,5.04,60.5675,1.05257864,NA,NA,NA,NA,NA,1.58,0.471723366,2.103766575,5.669657882
262,2013,NPKS,52.3943662,3.6945,56.0888662,1217.0175,1523.775,1.033216033,1.04 ,0.18,0.13,384.123015,1061.696704,2.88412096,0.45 ,0.26,0.04,44.36307461,5.594937521,50.49392868,800.4621553,10.36286176,4.36,30.31,0.842128081,NA,NA,NA,NA,NA,0.22,0.376895677,4.171539,1.423398521
81,1997,NK,0,0,0,388.5,2329.5,1.16,1.34 ,0.23,0.06,253.5,588,2.392302826,0.29 ,0.33,0.04,43.49158766,3.363,-3.363,-134.300775,6.670533643,5.5,4.2,0.42,NA,NA,NA,NA,NA,1.2,NA,2.29125,1.07175
212,2009,NP,52.3943662,0,52.3943662,862.93125,1214.046294,1.406259757,1.60 ,0.25,0.08,254.0127,574.7787375,2.71273622,0.83 ,0.17,0.08,43.27680792,4.02020974,48.37415646,764.1251291,9.000585938,4.1,35.246831,0.709236692,NA,NA,NA,NA,NA,0.51,0.540447094,3.12856516,0.89164458
68,1996,N,0,0,0,540,1110,1.18,1.17 ,0.26,0.37,502.5,1539.75,2.349442151,0.71 ,0.33,0.05,42.1512679,7.939125,-7.939125,-83.18295,8.062645012,5.1,3.2,0.47,NA,NA,NA,NA,NA,0.79,NA,5.511,2.428125
302,2017,PK,52.3943662,0,52.3943662,121.56075,575.2875,1.217917409,0.64 ,0.230431832,0.120238178,1109.602999,2305.379057,2.60483187,0.35 ,0.457288644,0.045881119,42.04037351,7.103652094,45.2907141,1182.206709,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,0.971829872,6.131822222
300,2017,NP,52.3943662,0,52.3943662,961.2310482,1215.6075,1.136022504,0.80 ,0.25543315,0.141549532,628.4105173,1372.482461,2.423323229,0.44 ,0.314992128,0.031026925,41.96173027,6.581272241,45.81309396,1150.836362,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,4.175989473,2.405282768
146,2003,NP,52.3943662,0,52.3943662,1218,1330.5,1.055733699,0.79 ,0.31,0.13,676.5,639,2.205712979,0.51 ,0.32,0.07,41.60382527,8.11755,44.2768162,474.8871856,10.46983759,4.6,40.7,0.72875,NA,NA,NA,NA,NA,0.46,NA,5.50545,2.6121
38,1993,PK,52.3943662,0,52.3943662,583.5,1620,1.05,0.53 ,0.29,0.33,750,2625,2.15091798,0.40 ,0.4,0.07,41.27089432,11.87565,40.5187162,122.3563736,8.69,5.65,15.6,0.62,NA,NA,NA,NA,NA,0.65,NA,7.03815,4.8375
214,2009,PK,52.3943662,0,52.3943662,552.77625,1285.778571,1.041625603,0.57 ,0.29,0.09,1065.05325,1559.737074,2.162003806,0.31 ,0.22,0.04,41.02057932,5.727263819,46.66710238,816.5829454,8.301879459,5.26,37.259587,0.745501809,NA,NA,NA,NA,NA,0.51,0.595155483,2.760251839,2.96701198
182,2006,NPK,52.3943662,0,52.3943662,843,1438.5,1.024678052,0.82 ,0.29,0.12,502.621875,861,2.373521794,0.99 ,0.28,0.09,40.89908178,6.35314125,46.04122495,487.5150179,9.568447874,4.325,62.417,0.8563,NA,NA,NA,NA,NA,0.84,0.402846827,4.1709,2.18224125
207,2008,NPKS,52.3943662,2.07,54.4643662,1161.790244,1745.7525,1.263521189,1.22 ,0.24,0.08,115.5,329.25,2.4212,0.52 ,0.36,0.06,40.55014584,4.798248585,49.66611761,575.2560431,9.924013921,4.6,51.7,0.893,NA,NA,NA,NA,NA,0.6,0.337,4.184898585,0.61335
259,2013,NPK,52.3943662,0,52.3943662,1159.05,1680.9675,0.901371222,0.77 ,0.17,0.1,390.2300175,1053.294718,2.94999607,0.49 ,0.27,0.06,40.04334806,5.336950378,47.05741582,811.036221,9.957712326,4.285,59.85546,0.859159765,NA,NA,NA,NA,NA,0.22,0.356225193,3.6513525,1.685597878
192,2007,PK,52.3943662,0,52.3943662,643.6600435,2148,1.05,0.53 ,0.29,0.12,648.0893571,1587.418605,2.15091798,0.40 ,0.4,0.07,38.39218529,8.147764578,44.24660162,723.5110993,8.633468677,5.56,36.66,0.7578,NA,NA,NA,NA,NA,0.64,0.4986,4.444214126,3.703550452
126,2001,PK,52.3943662,0,52.3943662,586.5,1930.5,0.82,0.40 ,0.27,0.3,1029,1472.25,1.68,0.58 ,0.39,0.08,38.299635,12.56595,39.8284162,465.6984532,9.042923434,5.4,50,0.82,NA,NA,NA,NA,NA,0.62,NA,7.37505,5.1909
49,1994,PK,52.3943662,0,52.3943662,225,1374,1.34,0.53 ,0.29,0.39,784.5,1680,2.67,0.40 ,0.33,0.07,37.91742686,9.77595,42.6184162,164.9747898,7.540603248,5.6,22.8,0.64,NA,NA,NA,NA,NA,1.05,NA,6.0111,3.76485
181,2006,PK,52.3943662,0,52.3943662,484.5,809.25,0.890684259,0.37 ,0.31,0.25,1056.085714,1551,2.11054885,0.53 ,0.48,0.1,37.81463348,10.14528643,42.24907977,679.2644977,8.180244688,5.125,61.458,0.8621,NA,NA,NA,NA,NA,0.84,0.398962506,3.525075,6.620211429
157,2004,NP,52.3943662,0,52.3943662,352.5,414,1.197174041,1.14 ,0.26,0.19,861,1339.5,2.607531462,0.47 ,0.34,0.06,37.69209786,5.4342,46.9601662,521.8473518,11.00226218,4.34,24.64,0.7675,NA,NA,NA,NA,NA,0.71,0.5471,1.7031,3.7311
193,2007,NPK,52.3943662,0,52.3943662,952.2921907,1174.5,1.15,1.01 ,0.27,0.1,381.3382049,810.15625,2.34258194,0.68 ,0.31,0.06,37.23798436,5.4139311,46.9804351,534.495453,9.912238979,4.53,34.34,0.863,0.837075048,368.58,1792.2,66.36,3885.4,0.64,0.4557,3.745688915,1.668242185
103,1999,NK,0,0,0,766.5,1807.5,1.19,1.35 ,0.34,0.09,60,151.5,1.91,1.47 ,0.46,0.04,36.89565,4.56945,-4.56945,-142.614525,8.642691415,4.2,5.4,0.45,NA,NA,NA,NA,NA,0.54,NA,4.23285,0.3366
274,2014,NPKMR,52.3943662,158,210.3943662,432.521625,820.041,,0.72 ,NA,0.19,1070.714286,3519.201988,0.569360075,0.69 ,0.46,0.22,36.40748671,NA,NA,NA,14.34363773,5.8775,189.1525,1.93988965,NA,NA,NA,NA,NA,0.56,1.029667082,NA,12.66753009
324,2019,PK,52.3943662,0,52.3943662,424.027529,929.5063827,#REF!,#REF!,0.272205147,0.352804389,870.3568439,1581.826757,#REF!,#REF!,0.406558893,0.073499655,#REF!,7.926356135,44.46801006,1272.701588,8.751338741,5.316529412,43.48893151,0.82058331,NA,NA,NA,NA,NA,NA,NA,3.225205778,4.701150357
159,2004,PK,52.3943662,0,52.3943662,421.5,676.5,1.099130885,0.53 ,0.35,0.4,868.5,1887.75,2.29778215,0.31 ,0.49,0.08,34.11137441,9.9471,42.4472662,592.7888518,9.632018561,5.31,23.12,0.7348,NA,NA,NA,NA,NA,0.71,0.6021,4.18125,5.76585
234,2011,NP,52.3943662,0,52.3943662,833.9126613,650.0325,1.414548729,1.69 ,0.24,0.19,215.01075,577.0050393,2.79940531,0.90 ,0.28,0.09,34.02474626,4.357786772,48.03657942,858.1863504,9.070191506,4.1,35.246831,0.709236692,NA,NA,NA,NA,NA,0.32,0.540447094,3.236452137,1.121334635
92,1998,NK,0,0,0,483,1377,1.39,0.98 ,0.21,0.1,325.5,941.25,2.09,0.73 ,0.3,0.04,33.882375,3.7443,-3.7443,-138.045075,8.990719258,4.4,4.1,0.47,NA,NA,NA,NA,NA,0.72,NA,2.3913,1.353
311,2018,NP,52.3943662,0,52.3943662,698.58375,585.2925,1.255361102,1.23 ,0.280308942,0.100631802,571.6360805,1096.966066,2.347238094,0.38 ,0.356994844,0.029159754,33.54515797,4.907767048,47.48659915,1198.322961,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,2.547183102,2.360583945
322,2019,NP,52.3943662,0,52.3943662,723.4243618,784.0020273,#REF!,#REF!,0.252933794,0.175377965,458.753439,854.5835638,#REF!,#REF!,0.309051946,0.060009825,#REF!,4.889855596,47.5045106,1245.827471,9.843184468,4.3839375,47.64190031,0.824675861,NA,NA,NA,NA,NA,NA,NA,2.959235063,1.930620533
34,1993,CK,0,0,0,559.5,1830,1,0.51 ,0.28,0.18,525,1785,1.884430524,0.47 ,0.36,0.05,33.30872507,7.6431,-7.6431,-23.829675,8.67,5.68,5.6,0.45,NA,NA,NA,NA,NA,0.65,NA,4.8606,2.7825
270,2014,NPK,52.3943662,0,52.3943662,1207.847485,775.52025,1.258188443,0.82 ,0.22,0.18,322.2307692,1493.172064,0.485742139,0.65 ,0.33,0.02,32.83114187,5.415196868,46.97916933,858.0153903,11.80716289,4.251666667,85.37,1.167235158,NA,NA,NA,NA,NA,0.56,0.558230864,4.053200917,1.361995951
292,2016,NPK,52.3943662,0,52.3943662,872.0115231,816.440625,1.207681436,1.05 ,0.19,0.21,328.164,1078.73504,2.594619198,0.46 ,0.38,0.04,32.57698563,5.049864423,47.34450177,947.4748424,10.580531,4.315,72.485,1.145760626,NA,NA,NA,NA,NA,0.7,0.58276967,3.371347206,1.678517216
236,2011,PK,52.3943662,0,52.3943662,443.4852082,825.04125,1.155828925,0.50 ,0.25,0.33,716.0479464,1380.171278,2.199358647,0.46 ,0.42,0.08,31.40959098,7.942887542,44.45147865,904.3034484,8.371485028,5.26,37.259587,0.745501809,NA,NA,NA,NA,NA,0.32,0.595155483,3.831349145,4.111538397
273,2014,NPKS,52.3943662,3.864681818,56.25904802,893.5284529,1053.025125,1.239146888,0.63 ,0.24,0.18,377.1326531,1432.833082,0.421556618,0.76 ,0.29,0.03,30.09464346,5.56344813,50.69559989,851.1577552,10.76785759,4.165,74.4575,1.077200527,NA,NA,NA,NA,NA,0.56,0.484927983,4.039913512,1.523534618
115,2000,PK,52.3943662,0,52.3943662,778.5,483.75,0.89,0.65 ,0.26,0.27,727.5,1361.25,1.81,0.48 ,0.41,0.05,29.774775,6.9936,45.4007662,425.870037,9.106728538,5.3,14.8,0.72,NA,NA,NA,NA,NA,0.76,NA,3.330225,3.663375
203,2008,PK,52.3943662,0,52.3943662,601.8932598,1048.95,1.028680504,0.47 ,0.26,0.1,697.5,1074,2.033,0.41 ,0.33,0.1,29.74084819,5.989622475,46.40474372,769.9158431,7.354988399,5.2,60.3,0.962,NA,NA,NA,NA,NA,0.6,0.548,2.613872475,3.37575
168,2005,NP,52.3943662,0,52.3943662,571.5,927,1.005008436,1.05 ,0.29,0.12,480,930.75,2.656854893,0.14 ,0.32,0.06,29.56361166,4.8642,47.5301662,569.377518,7.379698376,4.49,45.39,0.7632,NA,NA,NA,NA,NA,0.71,0.5549,2.76975,2.09445
313,2018,PK,52.3943662,0,52.3943662,245.1225,395.1975,1.136691949,0.64 ,0.311465957,0.273045219,817.9789563,1428.568094,2.398228069,0.29 ,0.447330324,0.060612323,29.0934468,6.367497241,46.02686896,1228.233578,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,1.842541021,4.52495622
12,1991,CK,0,0,0,609,866.25,1,0.512281449,0.28,0.11,624,1419,1.884430524,0.47 ,0.36,0.05,29.00047253,5.613975,-5.613975,-5.613975,NA,NA,NA,0.45,NA,NA,NA,NA,NA,0.8,NA,0,0
60,1995,PK,52.3943662,0,52.3943662,310.5,1229.25,1.05,0.53 ,0.29,0.46,646.5,1308,2.15091798,0.40 ,0.4,0.07,28.87780637,10.0566,42.3377662,207.312556,9.744779582,6.2,15.1,0.65,NA,NA,NA,NA,NA,0.48,NA,6.555,3.5016
90,1998,N,0,0,0,391.5,972,1.24,0.96 ,0.2,0.09,331.5,951.75,2.41,0.64 ,0.34,0.04,28.26615,3.1656,-3.1656,-88.9812,9.048723898,4.3,3.8,0.47,NA,NA,NA,NA,NA,0.72,NA,1.6578,1.5078
79,1997,N,0,0,0,558,1290,1.18,1.24 ,0.26,0.03,172.5,564,2.349442151,0.27 ,0.33,0.04,28.15598771,2.63265,-2.63265,-85.8156,10.90487239,5.2,2,0.5,NA,NA,NA,NA,NA,1.2,NA,1.8378,0.79485
190,2007,NP,52.3943662,0,52.3943662,603.9321429,873.75,1.23,1.14 ,0.27,0.1,276.4724768,565.5,2.385412302,0.65 ,0.32,0.07,27.6724749,3.784928711,48.60943749,666.0415025,10.06722738,4.42,40.69,0.8271,0.367222579,381.96,1912.8,69.22,3847.4,0.64,0.4505,2.504366786,1.280561926
179,2006,NP,52.3943662,0,52.3943662,378,619.5,1.124812815,0.93 ,0.28,0.165,406.5697674,836.25,2.507953278,0.77 ,0.35,0.1,26.64175304,4.339819186,48.05454701,617.432065,8.999909779,4.395,67.9244,0.84862502,NA,NA,NA,NA,NA,0.84,0.458597408,2.080575,2.259244186
93,1998,PK,52.3943662,0,52.3943662,318,972,1.44,0.67 ,0.3,0.25,465.75,1428.75,1.83,0.49 ,0.49,0.08,26.6157,6.809175,45.5851912,340.8289546,10.03480278,5.2,28.3,0.79,NA,NA,NA,NA,NA,0.72,NA,3.384,3.425175
278,2015,NP,52.3943662,0,52.3943662,484.4850775,671.8275,0.918606119,0.60 ,0.21,0.15,407.0665027,871.785254,3.481005188,0.42 ,0.33,0.02,26.2617304,3.542836422,48.85152977,1055.65598,9.807419563,4.215,73.6725,1.0890236,NA,NA,NA,NA,NA,1.58,0.404994207,2.025159913,1.51767651
101,1999,N,0,0,0,699,1164.75,1.28,1.26 ,0.35,0.07,66,148.5,1.82,0.92 ,0.35,0.03,26.19045,3.537375,-3.537375,-92.518575,8.584686775,3.5,4.7,0.43,NA,NA,NA,NA,NA,0.54,NA,3.261825,0.27555
71,1996,PK,52.3943662,0,52.3943662,270,855,1.05,0.53 ,0.29,0.52,559.5,1597.5,2.15091798,0.40 ,0.4,0.07,25.74551645,8.58525,43.8091162,251.1216722,8.178654292,5.3,9.8,0.69,NA,NA,NA,NA,NA,0.79,NA,5.229,3.35625
23,1992,CK,0,0,0,816,1071,1,0.51 ,0.28,0.15,381,1035,1.884430524,0.47 ,0.36,0.05,25.72330946,10.5726,-10.5726,-16.186575,9.211136891,6.7,5.3,0.42,NA,NA,NA,NA,NA,0.83,NA,8.6835,1.8891
204,2008,NPK,52.3943662,0,52.3943662,908.8848482,824.175,1.1952,1.37 ,0.27,0.08,88.5,228.75,2.032920713,0.68 ,0.24,0.09,25.55004998,3.53160409,48.86276211,583.3582151,9.947795824,4.5,60,0.974,NA,NA,NA,NA,NA,0.6,0.347,3.11332909,0.418275
258,2013,PK,52.3943662,0,52.3943662,72.4275,766.7325,1.063187777,0.43 ,0.24,0.13,649.80909,1579.066864,2.75351839,0.22 ,0.38,0.09,25.4094524,5.061012969,47.33335323,997.2816956,8.737450227,5.305,22.2125,0.776114647,0.134701732,285.16,1453.4,52.26,2970.6,0.22,0.282986626,1.17057825,3.890434719
256,2013,NP,52.3943662,0,52.3943662,476.7675,693.63,1.054022838,0.88 ,0.24,0.1,395.3025525,680.8370666,2.91594912,0.34 ,0.26,0.04,24.93601167,3.137993463,49.25637273,956.4190304,9.246999396,4.39,55.34297,0.748836615,0.471456062,449.8,2295,62.34,2845.2,0.22,0.247802375,1.837872,1.300121463
113,2000,NP,52.3943662,0,52.3943662,385.5,546.75,1.31,1.09 ,0.26,0.13,586.5,883.5,1.85,0.34 ,0.3,0.06,24.863775,11.89395,40.5004162,343.989862,9.512761021,4.6,16.5,0.76,NA,NA,NA,NA,NA,0.76,NA,1.713075,2.2896
248,2012,NPK,52.3943662,0,52.3943662,852.542625,540.0027,1.185684414,0.82 ,0.23,0.33,580.6555944,1711.883707,0,0.59 ,0,0.06,24.63204448,4.769987172,47.62437903,763.9788052,9.987627836,4.528,34.34092,0.862976448,NA,NA,NA,NA,NA,0.54,0.455749274,3.742856948,1.027130224
45,1994,CK,0,0,0,166.5,1139.25,1.14,0.51 ,0.29,0.22,522,1440,1.884430524,0.47 ,0.36,0.05,24.3843431,5.5884,-5.5884,-29.418075,7.018561485,6,6.8,0.48,NA,NA,NA,NA,NA,1.05,NA,2.9892,2.5992
289,2016,NP,52.3943662,0,52.3943662,416.87865,291.328125,1.266620934,1.00 ,0.22,0.1,423.7182468,1010.181182,2.595015706,0.51 ,0.31,0.05,24.32488552,3.027078311,49.36728789,1105.023268,9.410467994,4.375,67.64333333,0.999381105,NA,NA,NA,NA,NA,0.7,0.41781577,1.208461155,1.818617156
245,2012,NP,52.3943662,0,52.3943662,417.520875,270.00135,1.149697743,0.85 ,0.24,0.24,444.8611111,599.9277907,2.808202595,0.69 ,0.33,0.05,23.72039461,3.418058902,48.9763073,907.1626577,10.14261197,4.4155,40.68844,0.827129647,NA,NA,NA,NA,NA,0.54,0.450474945,1.65005334,1.768005562
